country,n_null,n_notna,notna_percentage
Austria,50.0,202,80.15873015873017
Belgium,27.0,206,88.41201716738198
Bulgaria,18.0,113,86.25954198473282
Croatia,2.0,67,97.10144927536231
Cyprus,0.0,67,100.0
Czech Republic,20.0,67,77.01149425287356
Denmark,5.0,202,97.58454106280193
Estonia,29.0,67,69.79166666666667
Finland,41.0,205,83.33333333333333
France,1.0,709,99.85915492957747
Greece,17.0,202,92.23744292237443
Hungary,13.0,109,89.34426229508196
Ireland,101.0,200,66.44518272425249
Italy,1.0,228,99.56331877729258
Latvia,29.0,67,69.79166666666667
Lithuania,29.0,67,69.79166666666667
Luxembourg,0.0,67,100.0
Malta,0.0,67,100.0
Netherlands,21.0,225,91.46341463414635
Norway,14.0,202,93.51851851851852
Poland,17.0,579,97.14765100671141
Portugal,13.0,490,97.4155069582505
Romania,21.0,157,88.20224719101124
Slovakia,35.0,67,65.68627450980392
Slovenia,2.0,67,97.10144927536231
Spain,31.0,209,87.08333333333333
Sweden,2.0,719,99.72260748959778
Turkey,1.0,108,99.08256880733946
United Kingdom,11.0,329,96.76470588235294
